Re,d,Sc,C,U,E
1000,0.5,0.8,0.342842892,0.884988202,0.036869116
1000,0.5,0.9,0.339971382,0.884987781,0.036869806
1000,0.5,1,0.336980481,0.88498937,0.036869779
1000,0.6,0.5,0.426850744,0.872987612,0.035651927
1000,0.6,0.6,0.430666983,0.87298793,0.035651087
1000,0.6,0.7,0.432499457,0.872989188,0.035651727
1000,0.6,0.8,0.433172785,0.872988264,0.035651218
1000,0.6,0.9,0.433123919,0.872987968,0.035651971
1000,0.6,1,0.432629192,0.872989589,0.035651961
1500,0.1,0.5,0.055351577,0.991650334,0.038756593
1500,0.1,0.6,0.051690849,0.991650136,0.038756717
1500,0.1,0.7,0.048734226,0.9916516,0.038756684
1500,0.1,0.8,0.046413847,0.991650513,0.038756611
1500,0.1,0.9,0.044680213,0.991651107,0.038756542
1500,0.1,1,0.043387844,0.991650616,0.03875668
1500,0.2,0.5,0.10719279,0.985117769,0.038558834
1500,0.2,0.6,0.100458939,0.985117274,0.038558816
1500,0.2,0.7,0.094981796,0.985118206,0.038558893
1500,0.2,0.8,0.090612001,0.985117918,0.03855883
1500,0.2,0.9,0.08717472,0.985116933,0.038558841
1500,0.2,1,0.084524417,0.985118152,0.038558837
1500,0.3,0.5,0.166903606,0.974078082,0.037926673
1500,0.3,0.6,0.1579876,0.974078037,0.037926777
1500,0.3,0.7,0.150545535,0.97407806,0.037926516
1500,0.3,0.8,0.144565117,0.974077894,0.037926707
1500,0.3,0.9,0.139799694,0.974078202,0.037926782
1500,0.3,1,0.136038568,0.97407776,0.037926691
1500,0.4,0.5,0.23769912,0.960841233,0.036864113
1500,0.4,0.6,0.229119508,0.960841168,0.036864784
1500,0.4,0.7,0.221507004,0.960840785,0.036864284
1500,0.4,0.8,0.215070342,0.960841533,0.036864395
1500,0.4,0.9,0.209778059,0.960840798,0.036864904
1500,0.4,1,0.205477723,0.960840776,0.036864671
1500,0.5,0.5,0.318084823,0.94663389,0.035502559
1500,0.5,0.6,0.312151308,0.946634355,0.035502322
1500,0.5,0.7,0.306416492,0.946633784,0.035501613
1500,0.5,0.8,0.301179272,0.946634539,0.035501965
1500,0.5,0.9,0.296582239,0.94663351,0.03550286
1500,0.5,1,0.292722552,0.946633753,0.035502489
1500,0.6,0.5,0.403614264,0.934602094,0.034078886
1500,0.6,0.6,0.401719786,0.934602326,0.034078639
1500,0.6,0.7,0.399156817,0.934602979,0.034077748
1500,0.6,0.8,0.396548806,0.934601956,0.034078739
1500,0.6,0.9,0.394275225,0.934601732,0.03407938
1500,0.6,1,0.392190701,0.934602094,0.034079
2000,0.1,0.5,0.048688907,1.023000755,0.038360372
2000,0.1,0.6,0.04543721,1.023000646,0.038360369
2000,0.1,0.7,0.043243108,1.022998838,0.038360408
2000,0.1,0.8,0.041750967,1.023001791,0.038360341
2000,0.1,0.9,0.040646322,1.022995243,0.038360387
2000,0.1,1,0.039935299,1.022994219,0.038360511
2000,0.2,0.5,0.093150038,1.016016169,0.038258762
2000,0.2,0.6,0.087217724,1.016014922,0.038259046
2000,0.2,0.7,0.082966247,1.016016256,0.038258676
2000,0.2,0.8,0.080004343,1.016015721,0.038258747
2000,0.2,0.9,0.077906504,1.016015435,0.038259192
2000,0.2,1,0.076336919,1.016013777,0.038259382
2000,0.3,0.5,0.146186936,1.004203824,0.037674768
2000,0.3,0.6,0.138052037,1.004203169,0.037674744
2000,0.3,0.7,0.132159723,1.00420387,0.037674665
2000,0.3,0.8,0.12798691,1.004203223,0.037674733
2000,0.3,0.9,0.125013363,1.004201875,0.037674928
2000,0.3,1,0.122678894,1.004199044,0.037675237
2000,0.4,0.5,0.213654214,0.991261592,0.036635131
2000,0.4,0.6,0.204736233,0.991261686,0.036634935
2000,0.4,0.7,0.198010302,0.991262037,0.03663507
2000,0.4,0.8,0.1929464,0.991262869,0.036634941
2000,0.4,0.9,0.189262101,0.991260536,0.036635595
2000,0.4,1,0.186546348,0.991259339,0.036636135
2000,0.5,0.5,0.294723856,0.976915677,0.035226618
2000,0.5,0.6,0.287146179,0.97691616,0.035226797
2000,0.5,0.7,0.280976211,0.976918438,0.035227327
2000,0.5,0.8,0.276123848,0.976916951,0.035226841
2000,0.5,0.9,0.272303899,0.976918448,0.035227855
2000,0.5,1,0.269411901,0.976918787,0.035228691
2000,0.6,0.5,0.383910078,0.964727973,0.033688758
2000,0.6,0.6,0.379575947,0.964727678,0.033689296
2000,0.6,0.7,0.375906261,0.964727736,0.033689168
2000,0.6,0.8,0.372836422,0.964727996,0.033688706
2000,0.6,0.9,0.370287232,0.96472589,0.033689322
2000,0.6,1,0.368110927,0.964726779,0.033689541
2500,0.1,0.5,0.04413242,1.041948508,0.038297544
2500,0.1,0.6,0.041774979,1.041946988,0.038297558
2500,0.1,0.7,0.040259747,1.041945252,0.038297773
2500,0.1,0.8,0.039328959,1.041941929,0.038298005
2500,0.1,0.9,0.038788922,1.041921469,0.038298767
2500,0.1,1,0.037589652,1.041921282,0.038298695
